Nazwa,Kasa,rkpsp,city,location,strona
Ford Fiesta Mk7,25 500,"('2013', '8 000')",Zebrzydowice,Śląskie,https://www.otomoto.pl/oferta/ford-fiesta-unikat-1-0-turbo-pakiet-st-lift-titanium-led-klimatronic-kamera-ID6CKtZX.html#7ce9f71ee3
Škoda Octavia II,25 000,"('2011', '26 815')",Łódź,Łódzkie,https://www.otomoto.pl/oferta/skoda-octavia-1-4-tsi-salon-polska-serwis-aso-klima-parktronic-ID6CL2e3.html#7ce9f71ee3
Audi A3 8P,19 500,"('2008', '35 000')",Lipno,Kujawsko-pomorskie,https://www.otomoto.pl/oferta/audi-a3-2-0-diesel-cr-140-km-po-litingu-skora-klimatronik-wersja-ambiente-ID6CN8BR.html#7ce9f71ee3
Škoda Superb II,36 000,"('2013', '55 369')",Łódź,Łódzkie,https://www.otomoto.pl/oferta/skoda-superb-1-4-tsi-salon-polska-1-wlasciciel-serwis-aso-xenon-klima-ID6CL2dZ.html#7ce9f71ee3
Ford Galaxy Mk3,45 000,"('2010', '45 267')",Łódź,Łódzkie,https://www.otomoto.pl/oferta/ford-galaxy-2-0-ecoboost-1-wlasciciel-automat-7-miejsc-skora-navi-xenon-ID6CL2dV.html#7ce9f71ee3
Alfa Romeo 159,13 900,"('2007', '25 000')",Poznań,Wielkopolskie,https://www.otomoto.pl/oferta/alfa-romeo-159-ID6CIOWw.html#7ce9f71ee3
Nissan Juke,51 498,"('2016', '2 009')",Kraków,Małopolskie,https://www.otomoto.pl/oferta/nissan-juke-1-2-dig-t-salon-polska-1-wlasciciel-serwis-aso-vat-23-skora-ID6CKgus.html#7ce9f71ee3
Audi A3 8L,7 900,"('2002', '40 000')",Zakrzew,Mazowieckie,https://www.otomoto.pl/oferta/audi-a3-sliczna-w-super-stanie-sprowadzona-rok-w-kraju-zarejestrowana-ID6CH1tU.html#7ce9f71ee3
Nissan Juke,39 900,"('2013', '9 000')",Kolonia Mrokowska,Mazowieckie,https://www.otomoto.pl/oferta/nissan-juke-1-6-navi-ID6Cy2Uj.html#7ce9f71ee3
Renault Scenic III,27 900,"('2012', '01 700')",Stargard Szczeciński,Zachodniopomorskie,https://www.otomoto.pl/oferta/renault-scenic-scenic-1-6-16v-110ps-lift-101tys-salon-dynamique-klimatyzacja-elektryk-ID6CE0qt.html#7ce9f71ee3
